Instance,ANGEL ,BB,SA,GRASP,ANT,LP,PHYSARUM
lipa20a,0.000,0.000,0.023,0.000,0.000,,0.000
lipa30a,0.000,0.015,0.017,0.000,0.000,,0.000
lipa40a,0.000,0.012,0.012,0.011,0.010,,0.000
lipa50a,0.000,0.009,0.009,,,,0.000
lipa60a,0.000,0.008,0.009,,,,0.007
lipa70a,0.000,0.007,,,,,0.006
lipa80a,0.000,0.006,,,,,0.006
lipa90a,0.000,0.006,,,,,0.005
nug12,0.000,0.000,0.038,0.000,,,0.000
nug14,0.000,0.000,0.032,0.004,,,0.000
nug15,0.000,0.000,0.017,0.000,,,0.000
nug16a,0.000,0.000,0.020,0.001,,,0.000
nug16b,0.000,0.000,0.024,0.000,,,0.000
nug17,0.000,0.000,0.025,0.010,,,0.000
nug18,0.000,0.000,0.018,0.008,,,0.000
nug20,0.000,0.000,0.011,0.007,0.000,,0.000
nug21,0.000,0.000,0.016,0.002,,0.000,0.000
nug22,0.000,0.004,0.013,0.002,,0.000,0.000
nug24,0.000,0.031,0.030,0.008,,0.000,0.000
nug25,0.000,0.017,0.005,0.012,,0.000,0.000
nug30,0.000,0.036,0.035,0.015,0.000,0.000,0.001
